field_of_view,cell_id,x,y,region,x_bin,y_bin,bin_id,mid_point_x,mid_point_y,global_bin_id,index,louvain,cell_type,benchmark_label
0,1,1305.7,414.98,Cortex,2,0,2,1353.0,372.0,2,0,13,Excitatory layer 3,eneuron
0,2,669.51,457.53,Cortex,1,0,1,853.0,372.0,1,1,3,Excitatory layer II,eneuron
0,3,1185.9,507.11,Cortex,2,0,2,1353.0,372.0,2,2,3,Excitatory layer II,eneuron
0,4,710.24,533.06,Cortex,1,0,1,853.0,372.0,1,3,7,Interneuron,ineuron 
0,5,763.87,569.15,Cortex,1,0,1,853.0,372.0,1,4,6,Excitatory layer 4,eneuron
0,6,1142.4,742.97,Cortex,2,1,7,1353.0,872.0,6,5,7,Interneuron,ineuron 
0,7,957.71,755.66,Cortex,1,1,6,853.0,872.0,5,6,3,Excitatory layer II,eneuron
0,8,1725.4,764.51,Cortex,3,1,8,1853.0,872.0,7,7,7,Interneuron,ineuron 
0,9,806.56,828.27,Cortex,1,1,6,853.0,872.0,5,8,3,Excitatory layer II,eneuron
0,10,1800.1,854.41,Cortex,3,1,8,1853.0,872.0,7,9,3,Excitatory layer II,eneuron
0,11,1886.0,844.88,Cortex,3,1,8,1853.0,872.0,7,10,3,Excitatory layer II,eneuron
0,12,950.97,863.93,Cortex,1,1,6,853.0,872.0,5,11,3,Excitatory layer II,eneuron
0,13,593.51,884.54,Cortex,0,1,5,353.0,872.0,4,12,20,Microglia,microglia
0,14,1596.5,918.18,Cortex,2,1,7,1353.0,872.0,6,13,3,Excitatory layer II,eneuron
0,15,1021.4,931.14,Cortex,1,1,6,853.0,872.0,5,14,3,Excitatory layer II,eneuron
0,16,1696.0,944.12,Cortex,3,1,8,1853.0,872.0,7,15,7,Interneuron,ineuron 
0,17,391.16,972.08,Cortex,0,1,5,353.0,872.0,4,16,19,Astrocytes deep ,astrocyte
0,18,597.81,1001.1,Cortex,0,1,5,353.0,872.0,4,17,3,Excitatory layer II,eneuron
0,19,1865.2,1009.6,Cortex,3,1,8,1853.0,872.0,7,18,20,Microglia,microglia
0,20,469.54,1022.3,Cortex,0,1,5,353.0,872.0,4,19,9,Excitatory layer 3,eneuron
0,21,1636.6,1029.2,Cortex,3,1,8,1853.0,872.0,7,20,3,Excitatory layer II,eneuron
0,22,344.12,1041.0,Cortex,0,1,5,353.0,872.0,4,21,7,Interneuron,ineuron 
0,23,1293.3,1054.1,Cortex,2,1,7,1353.0,872.0,6,22,2,Endothelial,endo
0,24,1378.9,1066.2,Cortex,2,1,7,1353.0,872.0,6,23,7,Interneuron,ineuron 
0,25,1594.2,1108.4,Cortex,2,1,7,1353.0,872.0,6,24,6,Excitatory layer 4,eneuron
0,26,822.23,1124.2,Cortex,1,2,11,853.0,1372.0,9,25,7,Interneuron,ineuron 
0,27,560.36,1123.7,Cortex,0,2,10,353.0,1372.0,8,26,6,Excitatory layer 4,eneuron
0,28,742.3,1134.5,Cortex,1,2,11,853.0,1372.0,9,27,6,Excitatory layer 4,eneuron
0,29,1751.6,1133.9,Cortex,3,2,13,1853.0,1372.0,11,28,3,Excitatory layer II,eneuron
0,30,668.36,1165.0,Cortex,1,2,11,853.0,1372.0,9,29,6,Excitatory layer 4,eneuron
0,31,241.57,1236.5,Cortex,0,2,10,353.0,1372.0,8,30,3,Excitatory layer II,eneuron
0,32,624.11,1246.1,Cortex,1,2,11,853.0,1372.0,9,31,3,Excitatory layer II,eneuron
0,33,103.12,1244.6,Cortex,0,2,10,353.0,1372.0,8,32,3,Excitatory layer II,eneuron
0,34,449.39,1248.8,Cortex,0,2,10,353.0,1372.0,8,33,3,Excitatory layer II,eneuron
0,35,1342.6,1294.3,Cortex,2,2,12,1353.0,1372.0,10,34,2,Endothelial,endo
0,36,407.86,1342.5,Cortex,0,2,10,353.0,1372.0,8,35,23,Interneurons deep,ineuron 
0,37,894.7,1428.8,Cortex,1,2,11,853.0,1372.0,9,36,10,Astrocytes superficial,astrocyte
0,38,1272.8,1436.4,Cortex,2,2,12,1353.0,1372.0,10,37,2,Endothelial,endo
0,39,1363.8,1434.1,Cortex,2,2,12,1353.0,1372.0,10,38,20,Microglia,microglia
0,40,421.27,1481.6,Cortex,0,2,10,353.0,1372.0,8,39,10,Astrocytes superficial,astrocyte
0,41,271.42,1493.4,Cortex,0,2,10,353.0,1372.0,8,40,3,Excitatory layer II,eneuron
0,42,1069.0,1515.1,Cortex,1,2,11,853.0,1372.0,9,41,10,Astrocytes superficial,astrocyte
0,43,426.59,1586.4,Cortex,0,2,10,353.0,1372.0,8,42,10,Astrocytes superficial,astrocyte
0,44,669.71,1629.6,Cortex,1,3,16,853.0,1872.0,13,43,2,Endothelial,endo
0,45,782.61,1687.7,Cortex,1,3,16,853.0,1872.0,13,44,10,Astrocytes superficial,astrocyte
0,46,228.25,1698.9,Cortex,0,3,15,353.0,1872.0,12,45,20,Microglia,microglia
0,47,442.86,1692.8,Cortex,0,3,15,353.0,1872.0,12,46,7,Interneuron,ineuron 
0,48,973.21,1705.6,Cortex,1,3,16,853.0,1872.0,13,47,10,Astrocytes superficial,astrocyte
0,49,1201.2,1726.0,Cortex,2,3,17,1353.0,1872.0,14,48,7,Interneuron,ineuron 
0,50,854.77,1725.6,Cortex,1,3,16,853.0,1872.0,13,49,20,Microglia,microglia
0,51,855.84,122.03,Cortex,1,0,1,853.0,372.0,1,50,10,Astrocytes superficial,astrocyte
0,52,469.57,208.95,Cortex,0,0,0,353.0,372.0,0,51,3,Excitatory layer II,eneuron
0,53,1090.2,215.81,Cortex,1,0,1,853.0,372.0,1,52,7,Interneuron,ineuron 
0,55,981.25,261.05,Cortex,1,0,1,853.0,372.0,1,54,3,Excitatory layer II,eneuron
0,56,390.59,277.05,Cortex,0,0,0,353.0,372.0,0,55,13,Excitatory layer 3,eneuron
0,57,1117.0,312.56,Cortex,2,0,2,1353.0,372.0,2,56,3,Excitatory layer II,eneuron
0,58,520.51,359.75,Cortex,0,0,0,353.0,372.0,0,57,3,Excitatory layer II,eneuron
0,59,980.24,382.43,Cortex,1,0,1,853.0,372.0,1,58,3,Excitatory layer II,eneuron
0,60,799.96,389.1,Cortex,1,0,1,853.0,372.0,1,59,7,Interneuron,ineuron 
0,61,527.31,538.48,Cortex,0,0,0,353.0,372.0,0,60,3,Excitatory layer II,eneuron
0,62,621.1,564.33,Cortex,1,0,1,853.0,372.0,1,61,7,Interneuron,ineuron 
0,63,571.13,677.51,Cortex,0,1,5,353.0,872.0,4,62,3,Excitatory layer II,eneuron
0,64,1458.0,207.93,Cortex,2,0,2,1353.0,372.0,2,63,3,Excitatory layer II,eneuron
0,65,1738.7,244.68,Cortex,3,0,3,1853.0,372.0,3,64,13,Excitatory layer 3,eneuron
0,66,1561.7,242.0,Cortex,2,0,2,1353.0,372.0,2,65,20,Microglia,microglia
0,67,1319.2,234.32,Cortex,2,0,2,1353.0,372.0,2,66,13,Excitatory layer 3,eneuron
0,68,1875.4,249.56,Cortex,3,0,3,1853.0,372.0,3,67,6,Excitatory layer 4,eneuron
0,69,1428.9,334.44,Cortex,2,0,2,1353.0,372.0,2,68,3,Excitatory layer II,eneuron
0,70,152.2,367.61,Cortex,0,0,0,353.0,372.0,0,69,6,Excitatory layer 4,eneuron
0,71,334.16,397.61,Cortex,0,0,0,353.0,372.0,0,70,6,Excitatory layer 4,eneuron
0,72,1623.4,414.97,Cortex,3,0,3,1853.0,372.0,3,71,13,Excitatory layer 3,eneuron
0,73,228.45,471.04,Cortex,0,0,0,353.0,372.0,0,72,9,Excitatory layer 3,eneuron
0,74,1829.6,471.16,Cortex,3,0,3,1853.0,372.0,3,73,3,Excitatory layer II,eneuron
0,75,1741.8,490.58,Cortex,3,0,3,1853.0,372.0,3,74,6,Excitatory layer 4,eneuron
0,76,1418.1,480.91,Cortex,2,0,2,1353.0,372.0,2,75,6,Excitatory layer 4,eneuron
0,77,363.87,495.87,Cortex,0,0,0,353.0,372.0,0,76,6,Excitatory layer 4,eneuron
0,78,291.89,554.35,Cortex,0,0,0,353.0,372.0,0,77,20,Microglia,microglia
0,79,1745.0,572.24,Cortex,3,0,3,1853.0,372.0,3,78,3,Excitatory layer II,eneuron
0,80,1617.6,580.99,Cortex,3,0,3,1853.0,372.0,3,79,3,Excitatory layer II,eneuron
0,81,1238.0,597.74,Cortex,2,0,2,1353.0,372.0,2,80,6,Excitatory layer 4,eneuron
0,82,1875.9,589.25,Cortex,3,0,3,1853.0,372.0,3,81,6,Excitatory layer 4,eneuron
0,83,402.8,589.35,Cortex,0,0,0,353.0,372.0,0,82,6,Excitatory layer 4,eneuron
0,84,238.72,602.18,Cortex,0,0,0,353.0,372.0,0,83,6,Excitatory layer 4,eneuron
0,85,1298.3,606.25,Cortex,2,0,2,1353.0,372.0,2,84,3,Excitatory layer II,eneuron
0,86,1401.0,619.94,Cortex,2,0,2,1353.0,372.0,2,85,7,Interneuron,ineuron 
0,87,312.93,632.17,Cortex,0,1,5,353.0,872.0,4,86,2,Endothelial,endo
0,88,448.36,646.88,Cortex,0,1,5,353.0,872.0,4,87,9,Excitatory layer 3,eneuron
0,89,699.92,689.47,Cortex,1,1,6,853.0,872.0,5,88,3,Excitatory layer II,eneuron
0,90,1923.8,695.5,Cortex,3,1,8,1853.0,872.0,7,89,3,Excitatory layer II,eneuron
0,91,370.94,707.28,Cortex,0,1,5,353.0,872.0,4,90,3,Excitatory layer II,eneuron
0,92,781.88,748.95,Cortex,1,1,6,853.0,872.0,5,91,6,Excitatory layer 4,eneuron
0,93,191.29,802.62,Cortex,0,1,5,353.0,872.0,4,92,6,Excitatory layer 4,eneuron
0,94,1960.0,814.15,Cortex,3,1,8,1853.0,872.0,7,93,7,Interneuron,ineuron 
0,95,739.38,818.87,Cortex,1,1,6,853.0,872.0,5,94,9,Excitatory layer 3,eneuron
0,96,374.81,836.35,Cortex,0,1,5,353.0,872.0,4,95,3,Excitatory layer II,eneuron
0,97,1502.4,839.0,Cortex,2,1,7,1353.0,872.0,6,96,3,Excitatory layer II,eneuron
0,98,266.0,875.11,Cortex,0,1,5,353.0,872.0,4,97,3,Excitatory layer II,eneuron
0,99,1357.2,890.97,Cortex,2,1,7,1353.0,872.0,6,98,3,Excitatory layer II,eneuron
0,100,446.9,904.75,Cortex,0,1,5,353.0,872.0,4,99,10,Astrocytes superficial,astrocyte
0,101,1308.9,937.98,Cortex,2,1,7,1353.0,872.0,6,100,3,Excitatory layer II,eneuron
0,102,745.68,922.15,Cortex,1,1,6,853.0,872.0,5,101,3,Excitatory layer II,eneuron
0,103,1460.8,940.49,Cortex,2,1,7,1353.0,872.0,6,102,3,Excitatory layer II,eneuron
0,104,799.79,982.66,Cortex,1,1,6,853.0,872.0,5,103,3,Excitatory layer II,eneuron
0,107,1198.5,1077.4,Cortex,2,1,7,1353.0,872.0,6,106,7,Interneuron,ineuron 
0,108,113.16,1090.7,Cortex,0,1,5,353.0,872.0,4,107,13,Excitatory layer 3,eneuron
0,109,280.75,1107.6,Cortex,0,1,5,353.0,872.0,4,108,3,Excitatory layer II,eneuron
0,110,1444.0,1139.5,Cortex,2,2,12,1353.0,1372.0,10,109,7,Interneuron,ineuron 
0,111,234.96,1152.6,Cortex,0,2,10,353.0,1372.0,8,110,6,Excitatory layer 4,eneuron
0,112,404.65,1155.9,Cortex,0,2,10,353.0,1372.0,8,111,3,Excitatory layer II,eneuron
0,113,1127.0,1172.7,Cortex,2,2,12,1353.0,1372.0,10,112,3,Excitatory layer II,eneuron
0,114,921.13,1260.5,Cortex,1,2,11,853.0,1372.0,9,113,7,Interneuron,ineuron 
0,115,796.06,1271.3,Cortex,1,2,11,853.0,1372.0,9,114,3,Excitatory layer II,eneuron
0,116,1336.0,1556.2,Cortex,2,2,12,1353.0,1372.0,10,115,2,Endothelial,endo
0,117,1794.6,1625.1,Cortex,3,3,18,1853.0,1872.0,15,116,2,Endothelial,endo
0,118,1383.3,1777.0,Cortex,2,3,17,1353.0,1872.0,14,117,10,Astrocytes superficial,astrocyte
1,1,1378.7,1786.5,Cortex,2,3,17,1426.0,1890.0,29,118,3,Excitatory layer II,eneuron
1,2,1547.5,1805.0,Cortex,2,3,17,1426.0,1890.0,29,119,18,Excitatory layer 5/6,eneuron
1,3,1634.0,1890.9,Cortex,2,3,17,1426.0,1890.0,29,120,6,Excitatory layer 4,eneuron
1,4,681.3,453.14,Cortex,1,0,1,926.0,390.0,17,121,9,Excitatory layer 3,eneuron
1,5,773.77,559.19,Cortex,1,0,1,926.0,390.0,17,122,9,Excitatory layer 3,eneuron
1,7,682.46,625.45,Cortex,1,0,1,926.0,390.0,17,124,19,Astrocytes deep ,astrocyte
1,8,495.56,678.78,Cortex,0,1,5,426.0,890.0,20,125,2,Endothelial,endo
1,9,594.86,688.87,Cortex,0,1,5,426.0,890.0,20,126,9,Excitatory layer 3,eneuron
1,10,837.63,711.08,Cortex,1,1,6,926.0,890.0,21,127,13,Excitatory layer 3,eneuron
1,11,667.59,797.63,Cortex,0,1,5,426.0,890.0,20,128,9,Excitatory layer 3,eneuron
1,12,575.64,836.86,Cortex,0,1,5,426.0,890.0,20,129,6,Excitatory layer 4,eneuron
1,13,830.55,838.28,Cortex,1,1,6,926.0,890.0,21,130,19,Astrocytes deep ,astrocyte
1,14,822.66,928.82,Cortex,1,1,6,926.0,890.0,21,131,9,Excitatory layer 3,eneuron
1,15,926.19,982.7,Cortex,1,1,6,926.0,890.0,21,132,9,Excitatory layer 3,eneuron
1,16,1601.6,140.15,Cortex,2,0,2,1426.0,390.0,18,133,9,Excitatory layer 3,eneuron
1,17,1354.5,178.6,Cortex,2,0,2,1426.0,390.0,18,134,13,Excitatory layer 3,eneuron
1,18,1800.3,206.95,Cortex,3,0,3,1926.0,390.0,19,135,13,Excitatory layer 3,eneuron
1,19,1675.2,209.95,Cortex,2,0,2,1426.0,390.0,18,136,10,Astrocytes superficial,astrocyte
1,20,1597.6,278.13,Cortex,2,0,2,1426.0,390.0,18,137,9,Excitatory layer 3,eneuron
1,21,911.59,281.52,Cortex,1,0,1,926.0,390.0,17,138,13,Excitatory layer 3,eneuron
1,22,1512.5,313.9,Cortex,2,0,2,1426.0,390.0,18,139,9,Excitatory layer 3,eneuron
1,23,1083.2,412.02,Cortex,1,0,1,926.0,390.0,17,140,19,Astrocytes deep ,astrocyte
1,24,1606.3,415.85,Cortex,2,0,2,1426.0,390.0,18,141,13,Excitatory layer 3,eneuron
1,25,1456.6,472.5,Cortex,2,0,2,1426.0,390.0,18,142,6,Excitatory layer 4,eneuron
1,26,1464.7,538.64,Cortex,2,0,2,1426.0,390.0,18,143,6,Excitatory layer 4,eneuron
1,27,1080.9,561.08,Cortex,1,0,1,926.0,390.0,17,144,9,Excitatory layer 3,eneuron
1,29,1814.4,557.17,Cortex,3,0,3,1926.0,390.0,19,146,23,Interneurons deep,ineuron 
1,30,1320.5,575.85,Cortex,2,0,2,1426.0,390.0,18,147,3,Excitatory layer II,eneuron
1,31,376.66,602.42,Cortex,0,0,0,426.0,390.0,16,148,19,Astrocytes deep ,astrocyte
1,32,301.91,647.45,Cortex,0,1,5,426.0,890.0,20,149,6,Excitatory layer 4,eneuron
1,33,1376.3,647.65,Cortex,2,1,7,1426.0,890.0,22,150,7,Interneuron,ineuron 
1,34,1224.7,662.74,Cortex,2,1,7,1426.0,890.0,22,151,9,Excitatory layer 3,eneuron
1,35,407.08,690.47,Cortex,0,1,5,426.0,890.0,20,152,9,Excitatory layer 3,eneuron
1,36,1439.6,704.34,Cortex,2,1,7,1426.0,890.0,22,153,9,Excitatory layer 3,eneuron
1,37,1660.6,795.69,Cortex,2,1,7,1426.0,890.0,22,154,2,Endothelial,endo
1,38,1213.6,804.34,Cortex,2,1,7,1426.0,890.0,22,155,2,Endothelial,endo
1,39,1581.2,832.92,Cortex,2,1,7,1426.0,890.0,22,156,6,Excitatory layer 4,eneuron
1,40,1496.8,836.92,Cortex,2,1,7,1426.0,890.0,22,157,3,Excitatory layer II,eneuron
1,41,375.37,848.23,Cortex,0,1,5,426.0,890.0,20,158,9,Excitatory layer 3,eneuron
1,42,451.05,845.44,Cortex,0,1,5,426.0,890.0,20,159,10,Astrocytes superficial,astrocyte
1,43,508.2,854.1,Cortex,0,1,5,426.0,890.0,20,160,3,Excitatory layer II,eneuron
1,44,1402.5,865.38,Cortex,2,1,7,1426.0,890.0,22,161,3,Excitatory layer II,eneuron
1,45,1159.9,894.7,Cortex,1,1,6,926.0,890.0,21,162,6,Excitatory layer 4,eneuron
1,46,1495.1,955.24,Cortex,2,1,7,1426.0,890.0,22,163,9,Excitatory layer 3,eneuron
1,47,366.94,972.24,Cortex,0,1,5,426.0,890.0,20,164,9,Excitatory layer 3,eneuron
1,48,1388.5,972.1,Cortex,2,1,7,1426.0,890.0,22,165,9,Excitatory layer 3,eneuron
1,49,513.53,979.4,Cortex,0,1,5,426.0,890.0,20,166,20,Microglia,microglia
1,50,1039.8,991.14,Cortex,1,1,6,926.0,890.0,21,167,2,Endothelial,endo
1,51,289.92,1001.6,Cortex,0,1,5,426.0,890.0,20,168,19,Astrocytes deep ,astrocyte
1,52,1555.4,1015.5,Cortex,2,1,7,1426.0,890.0,22,169,6,Excitatory layer 4,eneuron
1,53,397.93,1044.7,Cortex,0,1,5,426.0,890.0,20,170,10,Astrocytes superficial,astrocyte
1,54,1816.8,1062.3,Cortex,3,1,8,1926.0,890.0,23,171,9,Excitatory layer 3,eneuron
1,55,1311.8,1064.3,Cortex,2,1,7,1426.0,890.0,22,172,3,Excitatory layer II,eneuron
1,56,1223.2,1068.7,Cortex,2,1,7,1426.0,890.0,22,173,6,Excitatory layer 4,eneuron
1,57,1954.9,1080.9,Cortex,3,1,8,1926.0,890.0,23,174,3,Excitatory layer II,eneuron
1,58,1410.2,1077.8,Cortex,2,1,7,1426.0,890.0,22,175,6,Excitatory layer 4,eneuron
1,59,1675.7,1086.2,Cortex,2,1,7,1426.0,890.0,22,176,7,Interneuron,ineuron 
1,60,1002.1,1094.2,Cortex,1,1,6,926.0,890.0,21,177,2,Endothelial,endo
1,61,1103.8,1102.7,Cortex,1,1,6,926.0,890.0,21,178,6,Excitatory layer 4,eneuron
1,62,247.23,1111.9,Cortex,0,1,5,426.0,890.0,20,179,9,Excitatory layer 3,eneuron
1,63,1534.7,1118.8,Cortex,2,1,7,1426.0,890.0,22,180,9,Excitatory layer 3,eneuron
1,64,493.17,1132.6,Cortex,0,1,5,426.0,890.0,20,181,19,Astrocytes deep ,astrocyte
1,65,176.2,1138.3,Cortex,0,1,5,426.0,890.0,20,182,9,Excitatory layer 3,eneuron
1,66,1197.8,1158.6,Cortex,2,2,12,1426.0,1390.0,26,183,6,Excitatory layer 4,eneuron
1,67,1370.7,1173.5,Cortex,2,2,12,1426.0,1390.0,26,184,6,Excitatory layer 4,eneuron
1,68,324.83,1171.1,Cortex,0,2,10,426.0,1390.0,24,185,9,Excitatory layer 3,eneuron
1,69,1443.6,1172.4,Cortex,2,2,12,1426.0,1390.0,26,186,6,Excitatory layer 4,eneuron
1,70,427.71,1198.8,Cortex,0,2,10,426.0,1390.0,24,187,3,Excitatory layer II,eneuron
1,71,1535.1,1200.2,Cortex,2,2,12,1426.0,1390.0,26,188,6,Excitatory layer 4,eneuron
1,72,900.27,1238.5,Cortex,1,2,11,926.0,1390.0,25,189,19,Astrocytes deep ,astrocyte
1,73,224.88,1256.6,Cortex,0,2,10,426.0,1390.0,24,190,9,Excitatory layer 3,eneuron
1,74,1461.1,1280.3,Cortex,2,2,12,1426.0,1390.0,26,191,3,Excitatory layer II,eneuron
1,75,1021.7,1287.0,Cortex,1,2,11,926.0,1390.0,25,192,10,Astrocytes superficial,astrocyte
1,76,1117.7,1293.9,Cortex,1,2,11,926.0,1390.0,25,193,19,Astrocytes deep ,astrocyte
1,77,440.01,1288.7,Cortex,0,2,10,426.0,1390.0,24,194,6,Excitatory layer 4,eneuron
1,78,1737.6,1294.6,Cortex,3,2,13,1926.0,1390.0,27,195,19,Astrocytes deep ,astrocyte
1,79,945.65,1316.1,Cortex,1,2,11,926.0,1390.0,25,196,6,Excitatory layer 4,eneuron
